"board","search_level","window_turns","metric","games","value","median","ci_low","ci_high","primary"
"6x6","uct-0100","4","longest_mixed_leadership_run_fraction","50","0.853750","0.875000","0.832500","0.872083","false"
"6x6","uct-0100","4","mean_mixed_leadership_run","50","37.120000","41.500000","34.430000","39.740000","false"
"6x6","uct-0100","4","mean_mixed_leadership_run_fraction","50","0.773333","0.864583","0.716875","0.824792","false"
"6x6","uct-0100","4","mean_p1_led_regions","50","3.197083","3.250000","3.037500","3.357083","false"
"6x6","uct-0100","4","mean_p2_led_regions","50","2.849167","2.843750","2.696667","2.996250","false"
"6x6","uct-0100","4","mean_led_regions","50","6.046250","6.072916","5.858333","6.227917","false"
"6x6","uct-0100","4","mean_opposition_breadth","50","2.444167","2.458333","2.339583","2.548750","false"
"6x6","uct-0100","4","mean_opportunity_adjusted_activity","50","5.580967","5.642357","5.474425","5.688927","false"
"6x6","uct-0100","4","focus_switch_rate","50","0.905476","1.000000","0.844976","0.951095","false"
"6x6","uct-0100","4","focus_eligible_fraction","50","0.085957","0.085106","0.074043","0.099574","false"
"6x6","uct-0100","4","no_dominant_turn_rate","50","0.708333","0.729167","0.690000","0.725417","false"
"6x6","uct-0100","4","mean_focus_persistence","50","1.026461","1.000000","1.014544","1.040170","false"
"6x6","uct-0100","4","mean_focus_switch_distance","49","1.957256","2.000000","1.803466","2.125915","false"
"6x6","uct-0500","4","mean_active_regions","50","5.013333","5.000000","4.868333","5.152917","false"
"6x6","uct-0500","4","multi_active_turn_rate","50","0.944167","0.937500","0.935833","0.952500","false"
"6x6","uct-0500","4","longest_multi_active_run","50","45.240000","45.000000","44.800000","45.660000","false"
"6x6","uct-0500","4","longest_multi_active_run_fraction","50","0.942500","0.937500","0.933750","0.951250","false"
"6x6","uct-0500","4","mean_multi_active_run","50","44.880000","45.000000","43.740000","45.640000","false"
"6x6","uct-0500","4","mean_multi_active_run_fraction","50","0.935000","0.937500","0.910417","0.950833","false"
"6x6","uct-0500","4","mean_both_invested_regions","50","1.883333","1.906250","1.819167","1.947083","false"
"6x6","uct-0500","4","multi_both_invested_turn_rate","50","0.647500","0.645833","0.619583","0.675833","false"
"6x6","uct-0500","4","mixed_leadership_turn_rate","50","0.890417","0.895833","0.877917","0.900833","false"
"6x6","uct-0500","4","longest_mixed_leadership_run","50","42.500000","43.000000","41.840000","43.100000","false"
"6x6","uct-0500","4","longest_mixed_leadership_run_fraction","50","0.885417","0.895833","0.871667","0.897917","false"
"6x6","uct-0500","4","mean_mixed_leadership_run","50","41.110000","43.000000","39.180000","42.610000","false"
"6x6","uct-0500","4","mean_mixed_leadership_run_fraction","50","0.856458","0.895833","0.816250","0.889583","false"
"6x6","uct-0500","4","mean_p1_led_regions","50","3.352083","3.385416","3.195833","3.502083","false"
"6x6","uct-0500","4","mean_p2_led_regions","50","3.087500","3.020834","2.924583","3.255417","false"
"6x6","uct-0500","4","mean_led_regions","50","6.439583","6.479167","6.288750","6.590000","false"
"6x6","uct-0500","4","mean_opposition_breadth","50","2.595417","2.625000","2.505000","2.689167","false"
"6x6","uct-0500","4","mean_opportunity_adjusted_activity","50","5.077939","5.004849","4.915744","5.237701","false"
"6x6","uct-0500","4","focus_switch_rate","50","0.915668","1.000000","0.884738","0.946383","false"
"6x6","uct-0500","4","focus_eligible_fraction","50","0.145106","0.148936","0.125957","0.164255","false"
