"board","experiment_id","search_level","game_index","censor_mode","cohort_regions","final_band_survival_rate","mechanically_closed_rate","resolved_or_settled_rate","end_censored_rate","selectively_abandoned_rate"
"3x3","3x3-seeded-random","seeded-random","78","0.2","4","0.750000","0.000000","0.000000","0.500000","0.500000"
"3x3","3x3-seeded-random","seeded-random","79","turns4","7","0.714286","0.000000","0.714286","0.000000","0.285714"
"3x3","3x3-seeded-random","seeded-random","79","0.1","7","0.714286","0.000000","0.714286","0.000000","0.285714"
"3x3","3x3-seeded-random","seeded-random","79","0.2","7","0.714286","0.000000","0.714286","0.000000","0.285714"
"3x3","3x3-seeded-random","seeded-random","80","turns4","5","0.800000","0.000000","0.800000","0.200000","0.000000"
"3x3","3x3-seeded-random","seeded-random","80","0.1","5","0.800000","0.000000","0.800000","0.000000","0.200000"
"3x3","3x3-seeded-random","seeded-random","80","0.2","5","0.800000","0.000000","0.800000","0.200000","0.000000"
"3x3","3x3-seeded-random","seeded-random","81","turns4","6","0.833333","0.000000","0.500000","0.333333","0.166667"
"3x3","3x3-seeded-random","seeded-random","81","0.1","6","0.833333","0.000000","0.500000","0.166667","0.333333"
"3x3","3x3-seeded-random","seeded-random","81","0.2","6","0.833333","0.000000","0.500000","0.333333","0.166667"
