"board","search_level","band","metric","games","value","ci_low","ci_high","primary"
"3x3","uct-1000","3","largest_share_gap","100","0.088940","0.075345","0.103551","true"
"3x3","uct-1000","3","placement_top_two_share","100","0.534167","0.515000","0.554167","true"
"3x3","uct-1000","3","opportunity_top_two_share","100","0.367076","0.362185","0.371726","true"
"3x3","uct-1000","3","top_two_share_gap","100","0.167091","0.148070","0.186732","true"
"3x3","uct-1000","3","placement_regions","100","6.000000","5.790000","6.200000","true"
"3x3","uct-1000","3","opportunity_regions","100","8.940000","8.890000","8.980000","true"
"3x3","uct-1000","4","mean_active_fronts","100","3.384000","3.196000","3.566000","true"
"3x3","uct-1000","4","mean_dormant_fronts","100","0.760000","0.670000","0.850000","true"
"3x3","uct-1000","4","mean_backlog","100","1.590000","1.454000","1.726000","true"
"3x3","uct-1000","4","multi_active_turn_rate","100","0.966000","0.938000","0.988000","true"
"3x3","uct-1000","4","multi_unattended_turn_rate","100","0.504000","0.448000","0.562000","true"
"3x3","uct-1000","4","decline_from_game_peak","100","1.236000","1.084000","1.390000","true"
"3x3","uct-1000","4","placement_entropy","100","0.768314","0.749289","0.786806","true"
"3x3","uct-1000","4","opportunity_entropy","100","0.932012","0.926862","0.937330","true"
"3x3","uct-1000","4","entropy_gap","100","-0.163699","-0.182663","-0.145820","true"
"3x3","uct-1000","4","placement_hhi","100","0.215289","0.204356","0.226222","true"
"3x3","uct-1000","4","opportunity_hhi","100","0.143123","0.140973","0.145304","true"
"3x3","uct-1000","4","hhi_gap","100","0.072166","0.061905","0.082942","true"
"3x3","uct-1000","4","placement_largest_share","100","0.315333","0.299333","0.332667","true"
"3x3","uct-1000","4","opportunity_largest_share","100","0.235519","0.229207","0.241741","true"
"3x3","uct-1000","4","largest_share_gap","100","0.079815","0.063624","0.096725","true"
"3x3","uct-1000","4","placement_top_two_share","100","0.536667","0.516667","0.558000","true"
"3x3","uct-1000","4","opportunity_top_two_share","100","0.391148","0.384446","0.397770","true"
"3x3","uct-1000","4","top_two_share_gap","100","0.145519","0.125150","0.166124","true"
"3x3","uct-1000","4","placement_regions","100","6.420000","6.210000","6.630000","true"
"3x3","uct-1000","4","opportunity_regions","100","8.700000","8.610000","8.790000","true"
"4x4","seeded-random","1","mean_active_fronts","100","1.830000","1.713333","1.945000","false"
"4x4","seeded-random","1","mean_dormant_fronts","100","0.318333","0.278333","0.361667","false"
"4x4","seeded-random","1","mean_backlog","100","0.808333","0.735000","0.881667","false"
"4x4","seeded-random","1","multi_active_turn_rate","100","0.565000","0.526667","0.601667","false"
"4x4","seeded-random","1","multi_unattended_turn_rate","100","0.230000","0.195000","0.263333","false"
"4x4","seeded-random","1","decline_from_game_peak","100","5.280000","5.100000","5.465000","false"
"4x4","seeded-random","1","placement_entropy","100","0.850126","0.835585","0.863417","false"
"4x4","seeded-random","1","opportunity_entropy","100","0.979691","0.978540","0.980778","false"
