"board","experiment_id","game_index","checkpoint","turn_number","cumulative_placements","supply_share","secured_supply","secured_objectives","recent_normalized_entropy","recent_largest_region_share","recent_hhi","recent_region_coverage"
"6x6","6x6-seeded-random","57","0.9","44","132","0.606061","10","5","0.868042","0.166667","0.152778","0.777778"
"6x6","6x6-seeded-random","58","0.25","12","36","0.694444","0","0","0.690465","0.333333","0.236111","0.555556"
"6x6","6x6-seeded-random","58","0.5","24","72","0.583333","2","2","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-seeded-random","58","0.75","36","108","0.564815","2","5","0.762887","0.333333","0.208333","0.666667"
"6x6","6x6-seeded-random","58","0.9","44","132","0.545455","4","6","0.973197","0.166667","0.125000","1.000000"
"6x6","6x6-seeded-random","59","0.25","12","36","0.694444","0","0","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","59","0.5","24","72","0.708333","0","1","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","59","0.75","36","108","0.685185","2","1","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","59","0.9","44","132","0.643939","3","1","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","60","0.25","12","36","0.833333","0","0","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","60","0.5","24","72","0.763889","1","1","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","60","0.75","36","108","0.712963","4","2","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","60","0.9","44","132","0.704545","6","5","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","61","0.25","12","36","0.833333","1","0","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","61","0.5","24","72","0.750000","3","1","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","61","0.75","36","108","0.648148","5","3","0.848197","0.250000","0.166667","0.777778"
