"board","experiment_id","game_index","window_first_turn","window_last_turn","window_turns","placements","normalized_entropy","largest_region_share","hhi","region_coverage"
"6x6","6x6-seeded-random","7","2","5","4","12","0.868042","0.166667","0.152778","0.777778"
"6x6","6x6-seeded-random","7","3","6","4","12","0.868042","0.166667","0.152778","0.777778"
"6x6","6x6-seeded-random","7","4","7","4","12","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-seeded-random","7","5","8","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","7","6","9","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","7","7","10","4","12","0.868042","0.333333","0.180556","0.888889"
"6x6","6x6-seeded-random","7","8","11","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","7","9","12","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","7","10","13","4","12","0.710310","0.333333","0.250000","0.666667"
"6x6","6x6-seeded-random","7","11","14","4","12","0.618042","0.333333","0.263889","0.444444"
"6x6","6x6-seeded-random","7","12","15","4","12","0.657732","0.333333","0.263889","0.555556"
"6x6","6x6-seeded-random","7","13","16","4","12","0.880930","0.250000","0.166667","0.888889"
"6x6","6x6-seeded-random","7","14","17","4","12","0.868042","0.333333","0.180556","0.888889"
"6x6","6x6-seeded-random","7","15","18","4","12","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-seeded-random","7","16","19","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","7","17","20","4","12","0.710310","0.333333","0.222222","0.555556"
"6x6","6x6-seeded-random","7","18","21","4","12","0.762887","0.333333","0.208333","0.666667"
"6x6","6x6-seeded-random","7","19","22","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","7","20","23","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","7","21","24","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","7","22","25","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","7","23","26","4","12","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-seeded-random","7","24","27","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","7","25","28","4","12","0.920620","0.166667","0.138889","0.888889"
