"board","experiment_id","search_level","game_index","window_turns","mean_active_regions","multi_active_turn_rate","longest_multi_active_run","longest_multi_active_run_fraction","mean_both_invested_regions","multi_both_invested_turn_rate","mixed_leadership_turn_rate","mean_opportunity_adjusted_activity","focus_switch_rate","focus_eligible_fraction","no_dominant_turn_rate"
"7x7-p84","7x7-p84-uct-0100","uct-0100","27","2","3.642857142857143","0.9464285714285714","51","0.9107142857142857","0.6607142857142857","0.08928571428571429","0.9285714285714286","3.69546244638502","1","0.16363636363636364","0.6071428571428571"
"7x7-p84","7x7-p84-uct-0100","uct-0100","28","2","3.8035714285714284","0.8928571428571429","47","0.8392857142857143","0.8392857142857143","0.16071428571428573","0.8571428571428571","3.801186175240121","1","0.03636363636363636","0.75"
"7x7-p84","7x7-p84-uct-0100","uct-0100","29","2","4.160714285714286","0.9285714285714286","52","0.9285714285714286","0.7678571428571429","0.16071428571428573","0.7678571428571429","4.176571069397168","0.75","0.07272727272727272","0.7142857142857143"
"7x7-p84","7x7-p84-uct-0100","uct-0100","30","2","3.9107142857142856","0.9285714285714286","51","0.9107142857142857","0.9285714285714286","0.21428571428571427","0.9107142857142857","3.9657550401312105","","0","0.7678571428571429"
"7x7-p84","7x7-p84-uct-0100","uct-0100","31","2","3.607142857142857","0.875","47","0.8392857142857143","0.6071428571428571","0.07142857142857142","0.875","3.596694150311711","0.9","0.18181818181818182","0.6428571428571429"
"7x7-p84","7x7-p84-uct-0100","uct-0100","32","2","3.7857142857142856","0.8928571428571429","50","0.8928571428571429","0.8214285714285714","0.21428571428571427","0.9464285714285714","3.779337772716966","1","0.14545454545454545","0.6607142857142857"
"7x7-p84","7x7-p84-uct-0100","uct-0100","33","2","3.892857142857143","0.9107142857142857","50","0.8928571428571429","0.6785714285714286","0.05357142857142857","0.9285714285714286","3.926860460063875","1","0.12727272727272726","0.6607142857142857"
"7x7-p84","7x7-p84-uct-0100","uct-0100","34","2","4.017857142857143","0.9285714285714286","52","0.9285714285714286","0.75","0.17857142857142858","0.9464285714285714","4.058940959161401","1","0.07272727272727272","0.7142857142857143"
"7x7-p84","7x7-p84-uct-0100","uct-0100","35","2","3.7857142857142856","0.9107142857142857","51","0.9107142857142857","0.7678571428571429","0.14285714285714285","0.9107142857142857","3.7716278727840438","1","0.01818181818181818","0.8571428571428571"
"7x7-p84","7x7-p84-uct-0100","uct-0100","36","2","3.8214285714285716","0.9285714285714286","52","0.9285714285714286","0.6071428571428571","0.125","0.75","3.8394789160801994","0.875","0.14545454545454545","0.6071428571428571"
