"board","experiment_id","search_level","game_index","focus_switches","unresolved_carryover_switches","unresolved_carryover_rate","mean_carryover_duration","carryover_later_revisited","carryover_later_revisit_rate"
"7x7-p84","7x7-p84-seeded-random","seeded-random","37","6","6","1","6.166666666666667","5","0.8333333333333334"
"7x7-p84","7x7-p84-seeded-random","seeded-random","38","5","5","1","4.2","5","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","39","3","2","0.6666666666666666","12.5","2","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","40","6","5","0.8333333333333334","11.2","5","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","41","7","6","0.8571428571428571","6.833333333333333","6","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","42","7","7","1","9.714285714285714","7","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","43","7","4","0.5714285714285714","8.75","4","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","44","4","4","1","6.25","3","0.75"
"7x7-p84","7x7-p84-seeded-random","seeded-random","45","8","6","0.75","5.833333333333333","6","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","46","3","3","1","5.666666666666667","3","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","47","2","2","1","11.5","2","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","48","4","4","1","5","4","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","49","3","3","1","12","3","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","50","5","5","1","3.8","3","0.6"
